Incorrect Sentence,Correct Sentence
The computer was used by the programmer loaded with new software.,The computer loaded with new software was used by the programmer.
The article was written by a talented writer exploring a controversial topic.,The article exploring a controversial topic was written by a talented writer.
The baby was carried by the mother wrapped in a soft blanket.,The baby wrapped in a soft blanket was carried by the mother.
I saw the dog running across the street wagging its tail.,I saw the dog wagging its tail running across the street.
She was cleaning her room listening to music.,She was cleaning her room while listening to music.
The soccer player was awarded the trophy for his outstanding performance filled with excitement.,The soccer player filled with excitement was awarded the trophy for his outstanding performance.
The suitcase was found by the traveler filled with clothes.,The suitcase filled with clothes was found by the traveler.
The research paper was submitted by the student containing several errors.,The research paper containing several errors was submitted by the student.
The package was opened by the recipient containing a surprise gift.,The package containing a surprise gift was opened by the recipient.
The cake was baked by the chef with a cherry on top.,The cake with a cherry on top was baked by the chef.
The play was directed by a renowned director with an unusual twist.,The play with an unusual twist was directed by a renowned director.
The flowers were planted by the gardener along the pathway blooming beautifully.,The flowers blooming beautifully were planted by the gardener along the pathway.
The presentation was delivered by the speaker with great enthusiasm.,The presentation with great enthusiasm was delivered by the speaker.
The movie is about a detective solving a mystery based on a true story.,"The movie, based on a true story, is about a detective solving a mystery."
The article was written by a journalist on the front page about political scandals.,The article about political scandals was written by a journalist on the front page.
The children were playing soccer in the park wearing uniforms.,The children wearing uniforms were playing soccer in the park.
The package was delivered to the wrong address by the courier by mistake.,The package was delivered by the courier to the wrong address by mistake.
The book was reviewed by the critic with a controversial opinion.,The book with a controversial opinion was reviewed by the critic.
The meeting was attended by the team discussing the new project.,The meeting discussing the new project was attended by the team.
The boy was scolded by the teacher for not doing his homework with tears in his eyes.,The boy with tears in his eyes was scolded by the teacher for not doing his homework.
The tree was cut down by the workers blocking the road.,The tree blocking the road was cut down by the workers.
The dress was worn by the actress at the awards ceremony with a long train.,The dress with a long train was worn by the actress at the awards ceremony.
The concert was performed by the orchestra with great energy.,The concert with great energy was performed by the orchestra.
The phone was found by the owner in the lost and found with a cracked screen.,The phone with a cracked screen was found by the owner in the lost and found.
The meal was prepared by the chef using fresh ingredients.,The meal using fresh ingredients was prepared by the chef.
The house was decorated by the designer with a modern touch.,The house with a modern touch was decorated by the designer.
The exhibition was visited by the tourists featuring local artists.,The exhibition featuring local artists was visited by the tourists.
The novel was written by the author set in medieval times.,The novel set in medieval times was written by the author.
The car was driven by the mechanic for a test with a strange noise.,The car with a strange noise was driven by the mechanic for a test.
The email was sent by the manager containing important updates.,The email containing important updates was sent by the manager.
The lesson was taught by the instructor with a unique approach.,The lesson with a unique approach was taught by the instructor.
The experiment was conducted by the scientist with great precision.,The experiment with great precision was conducted by the scientist.
The report was presented by the analyst including recent trends.,The report including recent trends was presented by the analyst.
The coffee was served by the barista with a beautiful design on top.,The coffee with a beautiful design on top was served by the barista.
The interview was conducted by the journalist with a famous celebrity.,The interview with a famous celebrity was conducted by the journalist.
He run more faster than me.,He runs faster than me.
This is the most tallest building I've ever seen.,This is the tallest building I've ever seen.
She thinks she's the most funniest person in the room.,She thinks she's the funniest person in the room.
My car is more better than yours.,My car is better than yours.
Her cake was more tastier than mine.,Her cake was tastier than mine.
He was more colder than his brother.,He was colder than his brother.
This book is most interesting than that one.,This book is more interesting than that one.
She is most beautiful than her sister.,She is more beautiful than her sister.
This computer is most faster than the old one.,This computer is faster than the old one.
The new employee is most efficient than the previous one.,The new employee is more efficient than the previous one.
The river is most longer than the stream.,The river is longer than the stream.
The movie was most worse than I expected.,The movie was worse than I expected.
This wine is most more expensive than the other one.,This wine is more expensive than the other one.
The weather today is most hotter than yesterday.,The weather today is hotter than yesterday.
She has the most longest hair I've ever seen.,She has the longest hair I've ever seen.
His speech was most more compelling than hers.,His speech was more compelling than hers.
This pizza place has the most best pizza in town.,This pizza place has the best pizza in town.
The most earliest bird catches the worm.,The early bird catches the worm.
This recipe is most simpler than the other one.,This recipe is simpler than the other one.
The exam was most easier than I thought.,The exam was easier than I thought.
That was the most hardest level of the game.,That was the hardest level of the game.
He is the most laziest person I know.,He is the laziest person I know.
This is the most latest news I've heard.,This is the latest news I've heard.
The roller coaster was the most scariest I've ever been on.,The roller coaster was the scariest I've ever been on.
He is the most strongest man in the competition.,He is the strongest man in the competition.
This is the most happiest day of my life.,This is the happiest day of my life.
The novel was most more engaging than the movie.,The novel was more engaging than the movie.
She is the most youngest person in the group.,She is the youngest person in the group.
This is the most farthest I've ever traveled.,This is the farthest I've ever traveled.
The new software is most more user-friendly than the old one.,The new software is more user-friendly than the old one.
The most quickest way to get there is by train.,The quickest way to get there is by train.
He is the most oldest person in the family.,He is the oldest person in the family.
This material is most more durable than the other one.,This material is more durable than the other one.
This is the most hardest puzzle I've ever solved.,This is the hardest puzzle I've ever solved.
He is the most more skillful player on the team.,He is the most skillful player on the team.
The most shortest route is through the park.,The shortest route is through the park.
This is the most more affordable option for us.,This is the more affordable option for us.
The most richest person in the world lives here.,The richest person in the world lives here.
She is the most more experienced candidate for the job.,She is the more experienced candidate for the job.
The most easiest way to learn is by doing.,The easiest way to learn is by doing.
The most highest mountain in the world is Mount Everest.,The highest mountain in the world is Mount Everest.
This is the most more spacious room in the house.,This is the more spacious room in the house.
The most deepest part of the ocean is the Mariana Trench.,The deepest part of the ocean is the Mariana Trench.
He is the most more talented musician I know.,He is the more talented musician I know.
The most narrowest street in the world is in Spain.,The narrowest street in the world is in Spain.
The most more difficult decision I've made was to quit my job.,The more difficult decision I've made was to quit my job.
The most brightest star in the sky is Sirius.,The brightest star in the sky is Sirius.
The most most powerful superhero is Superman.,The most powerful superhero is Superman.
This is the most more efficient way to complete the task.,This is the more efficient way to complete the task.
"She enjoys reading, to watch movies, and cooking.","She enjoys reading, watching movies, and cooking."
"John needs to clean his room, the car, and organizing his desk.","John needs to clean his room, the car, and organize his desk."
"The job requires research skills, good communication, and working independently.","The job requires research skills, good communication, and independent work."
"My favorite activities are hiking, swimming, and to travel.","My favorite activities are hiking, swimming, and traveling."
"The restaurant offers delicious food, cheap prices, and it's very cozy.","The restaurant offers delicious food, cheap prices, and a cozy atmosphere."
"To succeed in business, one must be dedicated, work hard, and you need to network.","To succeed in business, one must be dedicated, work hard, and network."
"The conference will focus on technology, innovations, and discussing the future.","The conference will focus on technology, innovations, and the future."
"The teacher asked the students to write an essay, read a book, and preparing a presentation.","The teacher asked the students to write an essay, read a book, and prepare a presentation."
"The report covers climate change, pollution, and how to preserve natural resources.","The report covers climate change, pollution, and natural resource preservation."
"The painting features vibrant colors, interesting shapes, and it has a unique texture.","The painting features vibrant colors, interesting shapes, and a unique texture."
"The manager expects her team to be punctual, respectful, and that they should be motivated.","The manager expects her team to be punctual, respectful, and motivated."
"She practices yoga, enjoys meditation, and to go running.","She practices yoga, enjoys meditation, and goes running."
"The course includes lectures, hands-on activities, and students will work on projects.","The course includes lectures, hands-on activities, and project work."
"They plan to renovate the kitchen, paint the walls, and the carpet should be replaced.","They plan to renovate the kitchen, paint the walls, and replace the carpet."
"The event will feature live music, delicious food, and you can participate in games.","The event will feature live music, delicious food, and games for participation."
"She is skilled in programming, data analysis, and to create visualizations.","She is skilled in programming, data analysis, and creating visualizations."
"The recipe calls for chopped onions, minced garlic, and you should add salt to taste.","The recipe calls for chopped onions, minced garlic, and salt to taste."
"The book discusses history, politics, and it provides cultural insights.","The book discusses history, politics, and provides cultural insights."
"The movie was funny, exciting, and it kept me engaged.","The movie was funny, exciting, and engaging."
"The athlete's training routine includes lifting weights, cardio exercises, and to stretch.","The athlete's training routine includes lifting weights, cardio exercises, and stretching."
"The store sells clothing, accessories, and they offer alterations.","The store sells clothing, accessories, and offers alterations."
"The program encourages team building, communication, and to solve problems creatively.","The program encourages team building, communication, and creative problem-solving."
"The exhibition showcases paintings, sculptures, and it presents photography.","The exhibition showcases paintings, sculptures, and photography."
"The garden has beautiful flowers, tall trees, and it's a peaceful place.","The garden has beautiful flowers, tall trees, and a peaceful atmosphere."
"The article examines the economy, social issues, and how to improve education.","The article examines the economy, social issues, and educational improvement."
"The band plays rock music, jazz, and they perform acoustic sets.","The band plays rock music, jazz, and performs acoustic sets."
"The smartphone features a large screen, powerful processor, and you can take great photos.","The smartphone features a large screen, powerful processor, and great photo capabilities."
"She likes to dance, sing, and spending time with friends.","She likes to dance, sing, and spend time with friends."
"The workshop teaches writing skills, storytelling, and how to engage your audience.","The workshop teaches writing skills, storytelling, and audience engagement."
"The meeting will involve discussing the budget, reviewing goals, and to plan future events.","The meeting will involve discussing the budget, reviewing goals, and planning future events."
"The vacation package includes flights, accommodation, and you can enjoy guided tours.","The vacation package includes flights, accommodation, and guided tours."
"The artist uses paint, charcoal, and they create collages.","The artist uses paint, charcoal, and creates collages."
"The class covers grammar, vocabulary, and how to improve pronunciation.","The class covers grammar, vocabulary, and pronunciation improvement."
"The store offers a wide selection, affordable prices, and the staff is helpful.","The store offers a wide selection, affordable prices, and helpful staff."
"The website features news articles, opinion pieces, and you can watch videos.","The website features news articles, opinion pieces, and videos."
"The company values innovation, collaboration, and to have a strong work ethic.","The company values innovation, collaboration, and a strong work ethic."
"The event included an opening ceremony, guest speakers, and it had an awards presentation.","The event included an opening ceremony, guest speakers, and an awards presentation."
"The concert was loud, energetic, and it was an unforgettable experience.","The concert was loud, energetic, and unforgettable."
"The new software is user-friendly, efficient, and it helps increase productivity.","The new software is user-friendly, efficient, and increases productivity."
"The house has a spacious living room, modern kitchen, and the backyard is big.","The house has a spacious living room, modern kitchen, and a big backyard."
"The seminar covers time management, goal setting, and to develop leadership skills.","The seminar covers time management, goal setting, and leadership skill development."
"The game requires strategy, quick thinking, and to work as a team.","The game requires strategy, quick thinking, and teamwork."
"The project involves data collection, analysis, and how to make recommendations.","The project involves data collection, analysis, and recommendation making."
"The training focuses on safety, proper technique, and you should build strength gradually.","The training focuses on safety, proper technique, and gradual strength building."
"The magazine features fashion, beauty tips, and it has celebrity interviews.","The magazine features fashion, beauty tips, and celebrity interviews."
"The building has a gym, swimming pool, and the rooftop offers great views.","The building has a gym, swimming pool, and a rooftop with great views."
"The party will have food, drinks, and to play games.","The party will have food, drinks, and games to play."
"The course teaches web design, coding, and you can build your portfolio.","The course teaches web design, coding, and portfolio building."
"The meeting agenda includes introductions, updates, and to discuss future plans.","The meeting agenda includes introductions, updates, and future plan discussions."
Some of people like to play basketball.,Some people like to play basketball.
Many of cars are electric nowadays.,Many cars are electric nowadays.
Few of the students passed the exam.,Few students passed the exam.
I bought all of the apples in the store.,I bought all the apples in the store.
Some of children enjoy playing soccer.,Some children enjoy playing soccer.
Many of the books on this shelf are written by famous authors.,Many books on this shelf are written by famous authors.
Few of dogs are well-trained.,Few dogs are well-trained.
All of the people in this room have smartphones.,All the people in this room have smartphones.
Some of countries have strict visa requirements.,Some countries have strict visa requirements.
Many of the plants in this garden are native to the region.,Many plants in this garden are native to the region.
Few of scientists believe in the flat earth theory.,Few scientists believe in the flat earth theory.
All of the cookies you baked are delicious.,All the cookies you baked are delicious.
Some of movies released this year are worth watching.,Some movies released this year are worth watching.
Many of the buildings in this city are skyscrapers.,Many buildings in this city are skyscrapers.
Few of the ingredients in this dish are spicy.,Few ingredients in this dish are spicy.
All of the computers in this lab are high-performance machines.,All the computers in this lab are high-performance machines.
Some of the guests at the party were wearing costumes.,Some guests at the party were wearing costumes.
Many of the software developers prefer using Linux.,Many software developers prefer using Linux.
Few of the birds in this area are migratory.,Few birds in this area are migratory.
All of the paintings in this gallery are modern art.,All the paintings in this gallery are modern art.
Some of the flights to Europe have layovers.,Some flights to Europe have layovers.
Many of the hotels in this city are fully booked during the summer.,Many hotels in this city are fully booked during the summer.
Few of the employees in this company have worked here for over 20 years.,Few employees in this company have worked here for over 20 years.
All of the courses offered at this university are accredited.,All the courses offered at this university are accredited.
Some of the video games released in the past decade have become classics.,Some video games released in the past decade have become classics.
Many of the songs on this album are catchy.,Many songs on this album are catchy.
Few of the participants in the race finished within the time limit.,Few participants in the race finished within the time limit.
All of the trees in this park are native species.,All the trees in this park are native species.
Some of the dishes on this menu are vegetarian.,Some dishes on this menu are vegetarian.
Many of the animals in this zoo are endangered.,Many animals in this zoo are endangered.
Few of the politicians in this country are honest.,Few politicians in this country are honest.
All of the students in this class are attentive.,All the students in this class are attentive.
Some of the furniture in this store is made of high-quality wood.,Some furniture in this store is made of high-quality wood.
Many of the exercises in this workout routine are challenging.,Many exercises in this workout routine are challenging.
Few of the products in this store are made from sustainable materials.,Few products in this store are made from sustainable materials.
All of the houses in this neighborhood are well-maintained.,All the houses in this neighborhood are well-maintained.
Some of the people on this team are experienced professionals.,Some people on this team are experienced professionals.
Many of the items on this list are essential for a camping trip.,Many items on this list are essential for a camping trip.
Few of the tools in this toolbox are rusty.,Few tools in this toolbox are rusty.
All of the flowers in this garden are perennials.,All the flowers in this garden are perennials.
Some of the members of this club are talented musicians.,Some members of this club are talented musicians.
Many of the snacks in this vending machine are unhealthy.,Many snacks in this vending machine are unhealthy.
Few of the questions on this quiz are difficult.,Few questions on this quiz are difficult.
All of the phones in this store are the latest models.,All the phones in this store are the latest models.
Some of the articles in this magazine are informative.,Some articles in this magazine are informative.
Many of the movies on this streaming platform are critically acclaimed.,Many movies on this streaming platform are critically acclaimed.
Few of the people in this town have ever seen snow.,Few people in this town have ever seen snow.
All of the clothes in this shop are on sale.,All the clothes in this shop are on sale.
I need to repeat again what I said earlier.,I need to repeat what I said earlier.
She always over-exaggerates her problems all the time.,She always exaggerates her problems.
Please RSVP as soon as possible.,Please RSVP.
The final outcome will be the ultimate result.,The outcome will be the final result.
The reason why he's successful is because he works hard.,He's successful because he works hard.
This is an unexpected surprise for me.,This is a surprise for me.
The period of time when dinosaurs existed was long ago.,The time when dinosaurs existed was long ago.
"In my personal opinion, I believe that we should take action.","In my opinion, we should take action."
They combined together their resources to achieve their goal.,They combined their resources to achieve their goal.
The pizza is divided into individual slices for each person.,The pizza is divided into slices for each person.
He was very honest and truthful when he spoke.,He was very honest when he spoke.
I am absolutely certain and sure about my decision.,I am absolutely certain about my decision.
The reason for the delay is due to the weather.,The delay is due to the weather.
The meeting was held at 3 PM in the afternoon.,The meeting was held at 3 PM.
She is a female woman who works as a nurse.,She is a woman who works as a nurse.
The baby kitten is so small and tiny.,The baby kitten is so small.
The end result of the project was very successful.,The result of the project was very successful.
The new innovation in technology has made our lives easier.,The innovation in technology has made our lives easier.
He asked me a question and then repeated it again.,He asked me a question and then repeated it.
They both met each other at the same time.,They met each other at the same time.
The student was very enthusiastic and eager to learn.,The student was very enthusiastic to learn.
The exact same thing happened to me last week.,The same thing happened to me last week.
The manager carefully analyzed and examined the report.,The manager carefully analyzed the report.
I have already previously mentioned this issue.,I have already mentioned this issue.
The computer software program is quite complex.,The computer software is quite complex.
He made a summary and a brief overview of the meeting.,He made a summary of the meeting.
The weather outside is cold and chilly today.,The weather outside is cold today.
I will return back to the office after lunch.,I will return to the office after lunch.
There are various different ways to approach this problem.,There are various ways to approach this problem.
She spoke very quietly and softly during her presentation.,She spoke very quietly during her presentation.
He is tall in height and has brown hair.,He is tall and has brown hair.
The final conclusion of the experiment was conclusive.,The conclusion of the experiment was conclusive.
This is a true fact that cannot be disputed.,This is a fact that cannot be disputed.
The CEO presented a brief summary and a concise overview.,The CEO presented a brief summary.
He was completely devastated and heartbroken.,He was completely devastated.
She was angry and furious at the situation.,She was furious at the situation.
The store sells various different kinds of fruits and vegetables.,The store sells various kinds of fruits and vegetables.
He climbed up to the top of the mountain peak.,He climbed to the top of the mountain peak.
The small little puppy was playing in the yard.,The small puppy was playing in the yard.
The book provides a comprehensive overview and a complete summary.,The book provides a comprehensive overview.
The movie was very funny and humorous.,The movie was very funny.
The criminal was found guilty and convicted of the crime.,The criminal was found guilty of the crime.
The room was completely empty and vacant.,The room was completely empty.
The painting is an original copy of the famous artist's work.,The painting is an original work of the famous artist.
The temperature dropped suddenly and abruptly.,The temperature dropped suddenly.
The restaurant serves a wide variety of different dishes.,The restaurant serves a wide variety of dishes.
The car accident happened at 7 PM in the evening.,The car accident happened at 7 PM.
He is a young boy of 10 years old.,He is a 10-year-old boy.
The teacher was very patient and understanding with the students.,The teacher was very patient with the students.
The new employee is very competent and capable.,The new employee is very competent.
"Yo, how's it hangin'? I need to know the time of the meeting.","Hello, how are you? I need to know the time of the meeting."
"Kindly provide me with the burger, fries, and a coke, please.","Can I have a burger, fries, and a coke, please?"
The process consists of mixin' the ingredients and bakin' the cake.,The process consists of mixing the ingredients and baking the cake.
"The doctor said, ""You gotta take this medicine twice a day.""","The doctor said, ""You must take this medicine twice a day."""
The manager requested that John submits his report ASAP.,The manager requested that John submit his report as soon as possible.
I'm sorry to inform you that the event's been canceled due to unforeseen circumstances.,I regret to inform you that the event has been canceled due to unforeseen circumstances.
Could you gimme a hand with this heavy box?,Could you give me a hand with this heavy box?
"In conclusion, the experiment's results were totes inconclusive.","In conclusion, the experiment's results were entirely inconclusive."
You shoulda been more careful while handling the equipment.,You should have been more careful while handling the equipment.
"The candidate has demonstrated exceptional skills in leadership and teamwork, ya know.",The candidate has demonstrated exceptional skills in leadership and teamwork.
Please refrain from using slang and abbrevs in your writing.,Please refrain from using slang and abbreviations in your writing.
The dude was caught red-handed stealin' company property.,The individual was caught red-handed stealing company property.
"The venue is awesome, and the food is delish.","The venue is excellent, and the food is delicious."
Kindly refrain from makin' noise during the presentation.,Please refrain from making noise during the presentation.
What's the main purpose of this sophisticated machine?,What is the primary purpose of this sophisticated machine?
I ain't got no idea about how this happened.,I have no idea how this happened.
"The research paper needs some more work, I reckon.",I believe the research paper requires further work.
Lemme know if you need any assistance with the project.,Let me know if you need any assistance with the project.
"The company's sales have increased by 20% since last year, which is pretty dope.","The company's sales have increased by 20% since last year, which is quite impressive."
The new intern is a quick learner and always keen on helpin' others.,The new intern is a quick learner and always eager to help others.
"The concert was lit, and the crowd went wild.","The concert was outstanding, and the crowd went wild."
The board members agreed that the proposed plan was legit.,The board members agreed that the proposed plan was legitimate.
"The experiment's objective was to determine how temperature affects the speed of sound, ya know.",The experiment's objective was to determine how temperature affects the speed of sound.
The CEO urged the employees to be more proactive and step up their game.,The CEO urged the employees to be more proactive and improve their performance.
"The artist's work is a mixture of tradition and modernity, which is super cool.","The artist's work is a mixture of tradition and modernity, which is quite impressive."
The athletes have been trainin' hard for the upcoming competition.,The athletes have been training hard for the upcoming competition.
The new regulations will help in reducin' pollution and conservin' natural resources.,The new regulations will help in reducing pollution and conserving natural resources.
The new software update's gonna fix the bugs and improve performance.,The new software update will fix the bugs and improve performance.
"The teacher asked the students to be quiet and pay attention, y'all.",The teacher asked the students to be quiet and pay attention.
The politician's speech was full of empty promises and a bunch of baloney.,The politician's speech was full of empty promises and insincerity.
The movie was so amazeballs that I watched it twice.,The movie was so amazing that I watched it twice.
The company is workin' on developin' eco-friendly products.,The company is working on developing eco-friendly products.
"The book is an in-depth analysis of human behavior, which is kinda interesting.","The book is an in-depth analysis of human behavior, which is quite interesting."
The government is focused on improvin' public services and infrastructure.,The government is focused on improving public services and infrastructure.
"The employee's complaint was about unfair treatment and a toxic work environment, man.",The employee's complaint was about unfair treatment and a toxic work environment.
"The concert tickets are pricey, but the experience will be worth it, trust me.","The concert tickets are expensive, but the experience will be worth it."
"The team's performance was subpar, and they need to get their act together.","The team's performance was below average, and they need to improve."
The new employee handbook contains important info 'bout company policies and procedures.,The new employee handbook contains important information about company policies and procedures.
"The goal of the project is to create an intuitive and user-friendly interface, ya know.",The goal of the project is to create an intuitive and user-friendly interface.
The scientific community is workin' on finding a cure for the disease.,The scientific community is working on finding a cure for the disease.
The artwork displayed at the exhibition was simply breathtakin'.,The artwork displayed at the exhibition was simply breathtaking.
The committee is responsible for organizin' the event and managin' the budget.,The committee is responsible for organizing the event and managing the budget.
"The new restaurant offers a wide variety of dishes, and the ambiance is pretty chill.","The new restaurant offers a wide variety of dishes, and the ambiance is quite relaxed."
"The study aims to investigate the long-term effects of sleep deprivation on mental health, ya know.",The study aims to investigate the long-term effects of sleep deprivation on mental health.
"The conference is an opportunity for professionals to network and exchange ideas, dude.",The conference is an opportunity for professionals to network and exchange ideas.
The company's mission is to make a positive impact on society by providin' quality products and services.,The company's mission is to make a positive impact on society by providing quality products and services.
"The construction project is behind schedule, and the contractor needs to get his act together.","The construction project is behind schedule, and the contractor needs to improve his performance."
"The manager encouraged the employees to think outside the box and come up with innovative ideas, y'all.",The manager encouraged the employees to think outside the box and come up with innovative ideas.
"The novel explores complex themes and presents a unique perspective on human relationships, which is super intriguing.","The novel explores complex themes and presents a unique perspective on human relationships, which is quite intriguing."
She go store buy bread.,She went to the store to buy bread.
He fastly ran the race.,He ran the race quickly.
They was late for meeting.,They were late for the meeting.
I seen a movie last night.,I saw a movie last night.
The books is on the desk.,The books are on the desk.
She don't like coffee.,She doesn't like coffee.
The dog chased it's tail.,The dog chased its tail.
He has went to the store.,He has gone to the store.
Their going to the concert.,They're going to the concert.
The cat had ran away.,The cat had run away.
The car needs washed.,The car needs to be washed.
My friend they play basketball.,My friends play basketball.
He be at the party tonight.,He will be at the party tonight.
The cake need more sugar.,The cake needs more sugar.
"She was very tired, however she couldn't sleep.","She was very tired; however, she couldn't sleep."
"I'm going to the store and then to the bank, grocery shopping, and picking up the kids.","I'm going to the store, then to the bank, grocery shopping, and picking up the kids."
The boys wants to play soccer.,The boys want to play soccer.
She must of forgotten her keys.,She must have forgotten her keys.
The dog layed on the floor.,The dog lay on the floor.
He could of been a great leader.,He could have been a great leader.
The computer is slow I need a new one.,The computer is slow; I need a new one.
The plane it's leaving in two hours.,The plane is leaving in two hours.
Me and her went to the movies.,She and I went to the movies.
I should of studied harder.,I should have studied harder.
The concert was very loud it hurt my ears.,The concert was very loud; it hurt my ears.
She didn't want to go but she went anyways.,"She didn't want to go, but she went anyway."
He needs learn to cook.,He needs to learn to cook.
I wants to see the new movie.,I want to see the new movie.
The cat hid under the table because the dog barked.,The cat hid under the table because the dog was barking.
The childrens went to the park.,The children went to the park.
The girl hair was long and curly.,The girl's hair was long and curly.
He plays guitar good.,He plays the guitar well.
She's been to Paris last year.,She went to Paris last year.
The man who dropped his wallet I returned it to him.,I returned the wallet to the man who dropped it.
The cake is needing more time to bake.,The cake needs more time to bake.
He asked can I go to the store?,"He asked, ""Can I go to the store?"""
She very tired after work.,She was very tired after work.
They didn't seen the sign.,They didn't see the sign.
The car was drove by him.,The car was driven by him.
The child was ate the candy.,The child ate the candy.
The trees was cut down.,The trees were cut down.
I'm excited for going on vacation.,I'm excited about going on vacation.
He doesn't wants to eat.,He doesn't want to eat.
The girl draw a picture.,The girl drew a picture.
She has ran three miles.,She has run three miles.
The book that I found it was interesting.,The book that I found was interesting.
The sun shines to bright.,The sun shines too bright.
The boy broke him arm.,The boy broke his arm.
She don't know how to swim.,She doesn't know how to swim.
The dog chases it's tail.,The dog chases its tail.
"If I had a car, I will go on a road trip.","If I had a car, I would go on a road trip."
"If he will finish his work, he could have gone to the party.","If he had finished his work, he could have gone to the party."
"If she was here, I am going to ask for her help.","If she were here, I would ask for her help."
"If it rains tomorrow, we would have stayed indoors.","If it rains tomorrow, we will stay indoors."
I would have called you if I knew your number.,I would have called you if I had known your number.
"If you eat too much, you might have felt sick.","If you eat too much, you might feel sick."
"If he studied harder, he will pass the exam.","If he studied harder, he would pass the exam."
He could have bought the house if he has enough money.,He could have bought the house if he had enough money.
"If I was the president, I am going to change the law.","If I were the president, I would change the law."
"If they went to the store, they will buy some groceries.","If they went to the store, they would buy some groceries."
"If I knew his address, I will send him a letter.","If I knew his address, I would send him a letter."
"If she practiced more, she could have won the competition.","If she had practiced more, she could have won the competition."
"If it's sunny outside, we would go to the beach.","If it's sunny outside, we will go to the beach."
"If you had told me, I am going to help you.","If you had told me, I would have helped you."
"If the weather was better, we will go for a walk.","If the weather were better, we would go for a walk."
"If I met him yesterday, I will tell him the news.","If I had met him yesterday, I would have told him the news."
She might have come if you will invite her.,She might have come if you had invited her.
"If they get a new job, they could have moved to another city.","If they got a new job, they could move to another city."
"If I will have more time, I would have exercised more.","If I had more time, I would exercise more."
"If you paid attention, you will understand the problem.","If you paid attention, you would understand the problem."
"If he will stop smoking, his health would improve.","If he stopped smoking, his health would improve."
"If she cooked dinner, we would have eaten at home.","If she had cooked dinner, we would have eaten at home."
"If I will see him, I would give him your message.","If I saw him, I would give him your message."
"If the movie was better, I will recommend it to you.","If the movie were better, I would recommend it to you."
"If I won the lottery, I could have traveled the world.","If I won the lottery, I could travel the world."
"If it was warmer, we will go swimming.","If it were warmer, we would go swimming."
"If he will not be so stubborn, we could have reached a compromise.","If he were not so stubborn, we could have reached a compromise."
"If you will read the instructions, you would know what to do.","If you read the instructions, you would know what to do."
"If the bus was on time, I will not be late.","If the bus were on time, I would not be late."
"If she will be more organized, she could have finished the project.","If she were more organized, she could finish the project."
"If I will know the answer, I would tell you.","If I knew the answer, I would tell you."
"If we went to bed earlier, we would have felt more rested.","If we had gone to bed earlier, we would have felt more rested."
"If they will listen to me, we wouldn't be lost.","If they listened to me, we wouldn't be lost."
"If I had the time machine, I am going to visit ancient Rome.","If I had a time machine, I would visit ancient Rome."
"If he will apologize, she might have forgiven him.","If he apologized, she might forgive him."
"If the weather is bad, we would have canceled the picnic.","If the weather were bad, we would cancel the picnic."
"If you went to the party, you will meet new people.","If you went to the party, you would meet new people."
"If she will take the medicine, she would have felt better.","If she took the medicine, she would feel better."
"If I will be there, I would help you with your work.","If I were there, I would help you with your work."
"If they will not argue, they could have solved the problem.","If they did not argue, they could solve the problem."
"If you will finish your homework, you can watch TV.","If you finish your homework, you can watch TV."
"If she will be more patient, she could have taught the class.","If she were more patient, she could teach the class."
"If it will snow, we would have a snowball fight.","If it snowed, we would have a snowball fight."
"If I will learn Spanish, I would go to Spain.","If I learned Spanish, I would go to Spain."
"If he will eat healthier, he would have lost weight.","If he ate healthier, he would lose weight."
"If they will arrive earlier, they could have helped us.","If they arrived earlier, they could help us."
"If she will not be so shy, she would make more friends.","If she were not so shy, she would make more friends."
"If you will not be so busy, we could have met for lunch.","If you were not so busy, we could meet for lunch."
"If I had the power, I will change the world.","If I had the power, I would change the world."
Apples are more better than oranges.,Apples are better than oranges.
"She is taller than her brother, but not as much as her sister.","She is taller than her brother, but not as tall as her sister."
Smartphones are becoming more smarter.,Smartphones are becoming smarter.
My cat is more faster than your dog.,My cat is faster than your dog.
The movie was more worse than the book.,The movie was worse than the book.
John is a better cook than a musician Sam.,John is a better cook than Sam is a musician.
"The city is more crowded than the countryside, but less than the beach.","The city is more crowded than the countryside, but less crowded than the beach."
The meal was more tastier than what I expected.,The meal was tastier than what I expected.
It's more colder in Canada than it is in California.,It's colder in Canada than it is in California.
"This computer is more expensive than the other, but less than the newest model.","This computer is more expensive than the other, but less expensive than the newest model."
The water is more deeper here than over there.,The water is deeper here than over there.
She's more happier when she's with her friends.,She's happier when she's with her friends.
This game is more easier than the last one.,This game is easier than the last one.
The new model is more lighter than the previous one.,The new model is lighter than the previous one.
The dress is less prettier than the one she wore yesterday.,The dress is less pretty than the one she wore yesterday.
"This software is less user-friendly than the last version, but more than the competitor's.","This software is less user-friendly than the last version, but more user-friendly than the competitor's."
The car is more safer than a motorcycle.,The car is safer than a motorcycle.
The old house is less bigger than the new one.,The old house is smaller than the new one.
My coffee is more hotter than yours.,My coffee is hotter than yours.
The meeting was less longer than I anticipated.,The meeting was shorter than I anticipated.
The concert was more louder than I expected.,The concert was louder than I expected.
"The book is less interesting than the movie, but more than the play.","The book is less interesting than the movie, but more interesting than the play."
The weather is more warmer in the south.,The weather is warmer in the south.
"This restaurant is less expensive than that one, but more than the other.","This restaurant is less expensive than that one, but more expensive than the other."
The journey is more longer by train than by car.,The journey is longer by train than by car.
